week_monday,user_id,which,iso_time
2026-09-21,916464267,wed,2026-09-23T19:35:33+00:00
2026-09-21,1425933192,wed,2026-09-23T19:35:34+00:00
2026-09-21,7374881586,wed,2026-09-23T19:35:36+00:00
2026-09-21,7545589531,wed,2026-09-23T19:35:37+00:00
2026-09-21,8115641770,wed,2026-09-23T19:35:39+00:00
2026-09-21,8537175647,wed,2026-09-23T19:35:40+00:00
2026-09-21,1425933192,fri,2026-09-25T19:37:51+00:00
2026-09-21,1436002435,fri,2026-09-25T19:37:53+00:00
2026-09-21,7334599398,fri,2026-09-25T19:37:54+00:00
2026-09-21,7374881586,fri,2026-09-25T19:37:56+00:00
2026-09-21,7545589531,fri,2026-09-25T19:37:57+00:00
2026-09-21,7847453913,fri,2026-09-25T19:37:59+00:00
